time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9033019709e+00 4.9924596929e-02
1.2271846300e-02 9.9015318829e+00 4.9920140936e-02
2.4543692600e-02 9.8960280713e+00 4.9906276405e-02
3.6815538900e-02 9.8867967260e+00 4.9883006985e-02
4.9087385200e-02 9.8738431712e+00 4.9850338804e-02
6.1359231500e-02 9.8571786004e+00 4.9808280478e-02
7.3631077800e-02 9.8368178850e+00 4.9756843097e-02
8.5902924100e-02 9.8127780960e+00 4.9696040229e-02
9.8174770400e-02 9.7850777369e+00 4.9625887908e-02
1.1044661670e-01 9.7537380661e+00 4.9546404642e-02
1.2271846300e-01 9.7187869071e+00 4.9457611394e-02
1.3499030930e-01 9.6802547609e+00 4.9359531581e-02
1.4726215560e-01 9.6381728624e+00 4.9252191073e-02
1.5953400190e-01 9.5925787721e+00 4.9135618175e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.8999979805e+00 4.9922717313e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.8999979805e+00 4.9922717313e-02
1.2271846300e-02 9.8982293655e+00 4.9918261700e-02
2.4543692600e-02 9.8927274210e+00 4.9904398326e-02
3.6815538900e-02 9.8834967151e+00 4.9881130840e-02
4.9087385200e-02 9.8705447844e+00 4.9848465371e-02
6.1359231500e-02 9.8538827444e+00 4.9806410531e-02
7.3631077800e-02 9.8335245494e+00 4.9754977409e-02
8.5902924100e-02 9.8094867253e+00 4.9694179569e-02
9.8174770400e-02 9.7817888588e+00 4.9624033045e-02
1.1044661670e-01 9.7504535512e+00 4.9544556339e-02
1.2271846300e-01 9.7155074234e+00 4.9455770413e-02
1.3499030930e-01 9.6769800923e+00 4.9357698683e-02
1.4726215560e-01 9.6349040917e+00 4.9250367014e-02
1.5953400190e-01 9.5893145630e+00 4.9133803709e-02
