time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9312096961e+00 5.0004210362e-02
1.2271846300e-02 9.9292751218e+00 4.9999342231e-02
2.4543692600e-02 9.9235966447e+00 4.9985054122e-02
3.6815538900e-02 9.9141781260e+00 4.9961349815e-02
4.9087385200e-02 9.9010278990e+00 4.9928235573e-02
6.1359231500e-02 9.8841570207e+00 4.9885720145e-02
7.3631077800e-02 9.8635797127e+00 4.9833814760e-02
8.5902924100e-02 9.8393129316e+00 4.9772533128e-02
9.8174770400e-02 9.8113765376e+00 4.9701891429e-02
1.1044661670e-01 9.7797939979e+00 4.9621908316e-02
1.2271846300e-01 9.7445918519e+00 4.9532604902e-02
1.3499030930e-01 9.7057984298e+00 4.9434004760e-02
1.4726215560e-01 9.6634461030e+00 4.9326133912e-02
1.5953400190e-01 9.6175709722e+00 4.9209020824e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9303833926e+00 5.0003739705e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9303833926e+00 5.0003739705e-02
1.2271846300e-02 9.9284489418e+00 4.9998871672e-02
2.4543692600e-02 9.9227705081e+00 4.9984583856e-02
3.6815538900e-02 9.9133522878e+00 4.9960880036e-02
4.9087385200e-02 9.9002025025e+00 4.9927766476e-02
6.1359231500e-02 9.8833322122e+00 4.9885251925e-02
7.3631077800e-02 9.8627555004e+00 4.9833347612e-02
8.5902924100e-02 9.8384894564e+00 4.9772067245e-02
9.8174770400e-02 9.8105539448e+00 4.9701427005e-02
1.1044661670e-01 9.7789723909e+00 4.9621445542e-02
1.2271846300e-01 9.7437711371e+00 4.9532143971e-02
1.3499030930e-01 9.7049789406e+00 4.9433545862e-02
1.4726215560e-01 9.6626280635e+00 4.9325677238e-02
1.5953400190e-01 9.6167541948e+00 4.9208566563e-02
