time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9330114527e+00 4.9998959117e-02
1.2271846300e-02 9.9312212975e+00 4.9994453913e-02
2.4543692600e-02 9.9256892468e+00 4.9980531705e-02
3.6815538900e-02 9.9164174162e+00 4.9957196160e-02
4.9087385200e-02 9.9034135275e+00 4.9924453423e-02
6.1359231500e-02 9.8866920498e+00 4.9882312135e-02
7.3631077800e-02 9.8662632888e+00 4.9830783412e-02
8.5902924100e-02 9.8421462577e+00 4.9769880856e-02
9.8174770400e-02 9.8143597148e+00 4.9699620534e-02
1.1044661670e-01 9.7829277343e+00 4.9620020982e-02
1.2271846300e-01 9.7478774237e+00 4.9531103198e-02
1.3499030930e-01 9.7092360704e+00 4.9432890633e-02
1.4726215560e-01 9.6670373996e+00 4.9325409190e-02
1.5953400190e-01 9.6213162176e+00 4.9208687208e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9297055868e+00 4.9997076702e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9297055868e+00 4.9997076702e-02
1.2271846300e-02 9.9279162243e+00 4.9992571881e-02
2.4543692600e-02 9.9223845015e+00 4.9978650836e-02
3.6815538900e-02 9.9131144100e+00 4.9955317238e-02
4.9087385200e-02 9.9001134962e+00 4.9922577237e-02
6.1359231500e-02 9.8833933602e+00 4.9880439472e-02
7.3631077800e-02 9.8629675688e+00 4.9828915056e-02
8.5902924100e-02 9.8388531677e+00 4.9768017581e-02
9.8174770400e-02 9.8110703404e+00 4.9697763112e-02
1.1044661670e-01 9.7796427493e+00 4.9618170180e-02
1.2271846300e-01 9.7445965596e+00 4.9529259780e-02
1.3499030930e-01 9.7059604659e+00 4.9431055362e-02
1.4726215560e-01 9.6637666483e+00 4.9323582827e-02
1.5953400190e-01 9.6180507168e+00 4.9206870514e-02
