time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9307373068e+00 5.0003122062e-02
1.2271846300e-02 9.9287974673e+00 4.9998242392e-02
2.4543692600e-02 9.9231129082e+00 4.9983941146e-02
3.6815538900e-02 9.9136881873e+00 4.9960222095e-02
4.9087385200e-02 9.9005316986e+00 4.9927091496e-02
6.1359231500e-02 9.8836541172e+00 4.9884558089e-02
7.3631077800e-02 9.8630690446e+00 4.9832633098e-02
8.5902924100e-02 9.8387941374e+00 4.9771330224e-02
9.8174770400e-02 9.8108493725e+00 4.9700665645e-02
1.1044661670e-01 9.7792577488e+00 4.9620658007e-02
1.2271846300e-01 9.7440458622e+00 4.9531328419e-02
1.3499030930e-01 9.7052426059e+00 4.9432700453e-02
1.4726215560e-01 9.6628805024e+00 4.9324800127e-02
1.5953400190e-01 9.6169942595e+00 4.9207655905e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9299109522e+00 5.0002651414e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9299109522e+00 5.0002651414e-02
1.2271846300e-02 9.9279712404e+00 4.9997771844e-02
2.4543692600e-02 9.9222868785e+00 4.9983470893e-02
3.6815538900e-02 9.9128625373e+00 4.9959752332e-02
4.9087385200e-02 9.8997063897e+00 4.9926622417e-02
6.1359231500e-02 9.8828292795e+00 4.9884089890e-02
7.3631077800e-02 9.8622448885e+00 4.9832165973e-02
8.5902924100e-02 9.8379707345e+00 4.9770864367e-02
9.8174770400e-02 9.8100268001e+00 4.9700201250e-02
1.1044661670e-01 9.7784361194e+00 4.9620195265e-02
1.2271846300e-01 9.7432251864e+00 4.9530867524e-02
1.3499030930e-01 9.7044232113e+00 4.9432241593e-02
1.4726215560e-01 9.6620623641e+00 4.9324343491e-02
1.5953400190e-01 9.6161776018e+00 4.9207201681e-02
